연월일,시분초,온도,습도,강수량,풍향
2023-12-08,10:41:58,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:41:59,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:00,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:01,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:03,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:04,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:05,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:05,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:07,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:08,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:09,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:10,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:12,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:13,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:14,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:15,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:16,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:17,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:18,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:19,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:20,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:22,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:23,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:24,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:25,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:26,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:27,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:28,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:29,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:30,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:32,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:33,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:34,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:35,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:36,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:37,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:38,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:39,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:40,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:42,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:43,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:44,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:45,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:46,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:47,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:48,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:42:49,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
